Connection Count,Handshake Duration (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
21,0.011399984359741,1661034401.15853,242,1661034401.1606,242,1661034401.16081,90,1661034401.16993,114
22,0.04430103302002,1661034401.77466,242,1661034401.7763,242,1661034401.77653,90,1661034401.81896,114
23,0.010655879974365,1661034402.35083,242,1661034402.35239,242,1661034402.35261,90,1661034402.36148,90
24,0.00345516204834,1661034403.23065,242,1661034403.23242,242,1661034403.2327,90,1661034403.2341,90
25,0.030750036239624,1661034404.10163,242,1661034404.10324,242,1661034404.10348,90,1661034404.13238,90
26,0.011343955993652,1661034404.99685,242,1661034404.99836,242,1661034404.99852,114,1661034405.00819,114
27,0.040596008300781,1661034405.86167,242,1661034405.86337,242,1661034405.86353,90,1661034405.90226,114
28,0.026531934738159,1661034406.74117,242,1661034406.74306,242,1661034406.74323,90,1661034406.7677,114
29,0.004462003707886,1661034407.61065,242,1661034407.61219,242,1661034407.61235,90,1661034407.61511,90
30,0.0242760181427,1661034408.50134,242,1661034408.50302,242,1661034408.50321,90,1661034408.52562,90
31,0.0189049243927,1661034409.36125,242,1661034409.36305,242,1661034409.36323,90,1661034409.38016,90
32,0.037426948547363,1661034410.22501,242,1661034410.22673,242,1661034410.22691,90,1661034410.26243,90
33,0.035704135894775,1661034411.09754,242,1661034411.09964,242,1661034411.09983,90,1661034411.13324,114
34,0.007246971130371,1661034411.96242,242,1661034411.9644,242,1661034411.96459,90,1661034411.96967,114
35,0.013652801513672,1661034414.06501,242,1661034414.06687,242,1661034414.06711,90,1661034414.07866,90
36,0.01336407661438,1661034414.93033,242,1661034414.93199,242,1661034414.93222,90,1661034414.94369,90
37,0.046846151351929,1661034415.82174,242,1661034415.82339,242,1661034415.8236,90,1661034415.86859,90
38,0.009125947952271,1661034416.68548,242,1661034416.68699,242,1661034416.68717,90,1661034416.69461,90
39,0.033515930175781,1661034417.54963,242,1661034417.55126,242,1661034417.55145,90,1661034417.58314,90
40,0.01392412185669,1661034419.61485,242,1661034419.61628,242,1661034419.61644,90,1661034419.62878,90
41,0.016007900238037,1661034420.47532,242,1661034420.47714,242,1661034420.47742,90,1661034420.49132,90
42,0.02224612236023,1661034421.35009,242,1661034421.35181,242,1661034421.352,90,1661034421.37234,90
43,0.043076038360596,1661034422.2343,242,1661034422.23636,242,1661034422.2366,90,1661034422.27737,90
44,0.010693073272705,1661034423.09773,242,1661034423.09932,242,1661034423.09952,90,1661034423.10842,90
45,0.020426034927368,1661034425.17443,242,1661034425.17603,242,1661034425.17653,90,1661034425.19486,90
46,0.034133911132813,1661034426.05642,242,1661034426.05825,242,1661034426.05865,90,1661034426.09055,90
47,0.025017976760864,1661034426.93461,242,1661034426.93652,242,1661034426.93699,90,1661034426.95962,90
48,0.023594856262207,1661034427.80874,242,1661034427.81039,242,1661034427.81079,90,1661034427.83233,90
49,0.020400047302246,1661034428.68218,242,1661034428.68315,242,1661034428.68328,90,1661034428.70258,114
50,0.00686502456665,1661034429.47611,242,1661034429.47765,242,1661034429.47788,90,1661034429.48298,90
51,0.048506021499634,1661034429.87699,242,1661034429.87824,242,1661034429.87842,90,1661034429.9255,90
52,0.017707109451294,1661034430.77435,242,1661034430.77581,242,1661034430.77599,90,1661034430.79206,114
53,0.047025918960571,1661034431.64737,242,1661034431.64912,242,1661034431.64934,90,1661034431.69439,114
54,0.0175039768219,1661034432.52594,242,1661034432.52745,242,1661034432.52764,90,1661034432.54344,90
55,0.106317043304443,1661034433.40534,242,1661034433.40722,242,1661034433.40745,90,1661034433.51165,90
56,0.04073691368103,1661034434.28456,242,1661034434.28568,242,1661034434.28579,90,1661034434.3253,90
57,0.00836706161499,1661034435.01251,242,1661034435.01414,242,1661034435.01433,90,1661034435.02087,90
58,0.015592098236084,1661034435.47751,242,1661034435.47925,242,1661034435.4794,114,1661034435.4931,90
59,0.029163122177124,1661034436.35742,242,1661034436.35849,242,1661034436.3586,90,1661034436.38658,90
60,0.019500017166138,1661034437.22183,242,1661034437.22354,242,1661034437.22377,90,1661034437.24133,90
61,0.02234697341919,1661034438.10655,242,1661034438.10856,242,1661034438.10867,90,1661034438.1289,90
62,0.036647081375122,1661034438.98723,242,1661034438.98867,242,1661034438.98882,90,1661034439.02387,114
63,0.009950876235962,1661034439.85631,242,1661034439.85798,242,1661034439.85816,90,1661034439.86626,90
64,0.050613164901733,1661034440.54992,242,1661034440.55166,242,1661034440.55187,90,1661034440.60054,90
65,0.035936117172241,1661034441.05865,242,1661034441.06022,242,1661034441.06037,90,1661034441.09458,90
66,0.008563041687012,1661034441.92436,242,1661034441.92594,242,1661034441.92611,90,1661034441.93292,90
67,0.008770942687988,1661034442.78548,242,1661034442.78711,242,1661034442.78731,90,1661034442.79425,90
68,0.023232936859131,1661034443.64918,242,1661034443.65088,242,1661034443.65108,90,1661034443.67242,90
69,0.045861959457398,1661034444.52228,242,1661034444.52393,242,1661034444.52411,90,1661034444.56814,90
70,0.003213167190552,1661034445.39536,242,1661034445.39702,242,1661034445.39718,90,1661034445.39857,90
71,0.03784990310669,1661034446.07154,242,1661034446.07323,242,1661034446.07345,90,1661034446.10939,90
72,0.012745141983032,1661034446.59065,242,1661034446.59228,242,1661034446.59244,90,1661034446.60339,90
73,0.01006293296814,1661034447.45338,242,1661034447.45495,242,1661034447.45513,90,1661034447.46344,90
74,0.009115934371948,1661034448.3224,242,1661034448.32413,242,1661034448.32446,90,1661034448.33152,90
75,0.031958103179932,1661034449.18762,242,1661034449.18936,242,1661034449.18966,90,1661034449.21958,90
76,0.051585197448731,1661034450.0483,242,1661034450.05002,242,1661034450.05032,90,1661034450.09989,90
77,0.05144214630127,1661034450.91042,242,1661034450.91207,242,1661034450.91219,90,1661034450.96187,90
78,0.035881042480469,1661034451.61489,242,1661034451.61648,242,1661034451.61661,90,1661034451.65077,90
79,0.042327165603638,1661034452.12128,242,1661034452.12288,242,1661034452.12302,90,1661034452.16361,90
80,0.036525011062622,1661034452.99303,242,1661034452.99467,242,1661034452.99489,90,1661034453.02956,90
81,0.018159151077271,1661034453.85466,242,1661034453.85639,242,1661034453.85655,90,1661034453.87282,90
82,0.031608819961548,1661034454.72909,242,1661034454.7308,242,1661034454.73099,90,1661034454.7607,90
83,0.027949094772339,1661034455.59784,242,1661034455.59959,242,1661034455.59982,90,1661034455.62579,90
84,0.046231985092163,1661034456.46287,242,1661034456.46464,242,1661034456.46481,90,1661034456.5091,114
85,0.022651195526123,1661034457.15579,242,1661034457.15743,242,1661034457.15763,90,1661034457.17845,90
86,0.021844863891602,1661034457.65037,242,1661034457.65199,242,1661034457.65219,90,1661034457.67221,90
87,0.050015211105347,1661034458.51098,242,1661034458.51259,242,1661034458.5128,90,1661034458.561,90
88,0.051635980606079,1661034459.38267,242,1661034459.38427,242,1661034459.38447,90,1661034459.43431,90
89,0.033431053161621,1661034460.24539,242,1661034460.24746,242,1661034460.24765,90,1661034460.27883,114
90,0.036926984786987,1661034461.11526,242,1661034461.1169,242,1661034461.11711,90,1661034461.15219,114
91,0.038793087005615,1661034461.98356,242,1661034461.98557,242,1661034461.986,90,1661034462.02236,90
