Connection Count,Handshake Duration (s),TCP Ending Handshake Timestamp (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
23,0.022820949554443,1661102859.06512,1661102859.0423,168,1661102859.04284,168,1661102859.04297,114,1661102859.06512,114
24,0.051738977432251,1661102864.6447,1661102864.59296,168,1661102864.59354,168,1661102864.5939,90,1661102864.6447,90
25,0.042448997497559,1661102870.1591,1661102870.11665,168,1661102870.11712,168,1661102870.1175,90,1661102870.1591,90
26,0.049062013626099,1661102875.70922,1661102875.66016,168,1661102875.66053,168,1661102875.66064,114,1661102875.70922,90
27,0.035404920578003,1661102881.22872,1661102881.19331,168,1661102881.19374,168,1661102881.19407,90,1661102881.22872,90
28,0.057236194610596,1661102886.76341,1661102886.70617,168,1661102886.70657,168,1661102886.70691,90,1661102886.76341,90
29,0.0366690158844,1661102892.27055,1661102892.23388,168,1661102892.23431,168,1661102892.23443,114,1661102892.27055,90
30,0.040776968002319,1661102897.83318,1661102897.7924,168,1661102897.79286,168,1661102897.79307,90,1661102897.83318,90
31,0.034265041351318,1661102903.3644,1661102903.33014,168,1661102903.33105,168,1661102903.33141,90,1661102903.3644,90
32,0.050333023071289,1661102908.90904,1661102908.8587,168,1661102908.85905,168,1661102908.85938,90,1661102908.90904,114
33,0.001345157623291,1661102914.3957,1661102914.39436,168,1661102914.39477,168,1661102914.39496,90,1661102914.3957,114
34,0.020350933074951,1661102919.9787,1661102919.95835,168,1661102919.95878,168,1661102919.95889,114,1661102919.9787,90
35,0.075209856033325,1661102925.57356,1661102925.49835,168,1661102925.49871,168,1661102925.49885,90,1661102925.57356,90
36,0.008482933044434,1661102931.04591,1661102931.03743,168,1661102931.03782,168,1661102931.03797,90,1661102931.04591,90
37,0.002700090408325,1661102936.62178,1661102936.61908,168,1661102936.6195,168,1661102936.61968,90,1661102936.62178,90
38,0.025156021118164,1661102942.18437,1661102942.15921,168,1661102942.15956,168,1661102942.15978,90,1661102942.18437,90
39,0.04118013381958,1661102947.71554,1661102947.67436,168,1661102947.67477,168,1661102947.67492,90,1661102947.71554,90
40,0.055044889450073,1661102953.25976,1661102953.20472,168,1661102953.20513,168,1661102953.20527,114,1661102953.25976,90
41,0.052800178527832,1661102958.80401,1661102958.75121,168,1661102958.75163,168,1661102958.75178,90,1661102958.80401,90
42,0.030123949050903,1661102964.35049,1661102964.32036,168,1661102964.32084,168,1661102964.32102,90,1661102964.35049,90
43,0.006232023239136,1661102969.89662,1661102969.89038,168,1661102969.89075,168,1661102969.89089,90,1661102969.89662,90
44,0.008000135421753,1661102975.46452,1661102975.45652,168,1661102975.45696,168,1661102975.4572,90,1661102975.46452,90
45,0.067331075668335,1661102981.06997,1661102981.00264,168,1661102981.00314,168,1661102981.00359,90,1661102981.06997,114
46,0.001351833343506,1661102986.58961,1661102986.58826,168,1661102986.58872,168,1661102986.5889,90,1661102986.58961,90
47,0.023782968521118,1661102992.18153,1661102992.15775,168,1661102992.15815,168,1661102992.15832,90,1661102992.18153,90
48,0.049690008163452,1661102997.7711,1661102997.72141,168,1661102997.72178,168,1661102997.72196,90,1661102997.7711,114
49,0.058198928833008,1661103003.32465,1661103003.26645,168,1661103003.26696,168,1661103003.26719,90,1661103003.32465,114
50,0.024939060211182,1661103008.83333,1661103008.80839,168,1661103008.80877,168,1661103008.80898,90,1661103008.83333,90
51,0.016157865524292,1661103014.3755,1661103014.35934,168,1661103014.35972,168,1661103014.35984,114,1661103014.3755,90
52,0.054975986480713,1661103019.92912,1661103019.87415,168,1661103019.87458,168,1661103019.87471,90,1661103019.92912,90
53,0.01132607460022,1661103025.44816,1661103025.43684,168,1661103025.43723,168,1661103025.43741,90,1661103025.44816,90
54,0.033941984176636,1661103031.03239,1661103030.99844,168,1661103030.99887,168,1661103030.99901,114,1661103031.03239,114
55,0.049760103225708,1661103036.55643,1661103036.50667,168,1661103036.50703,168,1661103036.50718,90,1661103036.55643,90
56,0.049204111099243,1661103042.09174,1661103042.04253,168,1661103042.043,168,1661103042.04326,90,1661103042.09174,114
57,0.051103830337525,1661103047.6554,1661103047.6043,168,1661103047.60482,168,1661103047.605,90,1661103047.6554,114
58,0.056982040405274,1661103053.2529,1661103053.19591,168,1661103053.19634,168,1661103053.19656,90,1661103053.2529,114
59,0.052231788635254,1661103058.79659,1661103058.74436,168,1661103058.74479,168,1661103058.74493,90,1661103058.79659,114
60,0.04287600517273,1661103064.32961,1661103064.28674,168,1661103064.28721,168,1661103064.28764,90,1661103064.32961,90
61,0.049440860748291,1661103069.89276,1661103069.84332,168,1661103069.84374,168,1661103069.8439,114,1661103069.89276,114
62,0.004795074462891,1661103075.39769,1661103075.39289,168,1661103075.39328,168,1661103075.39346,90,1661103075.39769,114
63,0.031051874160767,1661103080.96529,1661103080.93424,168,1661103080.93473,168,1661103080.93493,114,1661103080.96529,114
64,0.05396294593811,1661103086.54615,1661103086.49218,168,1661103086.4926,168,1661103086.49276,90,1661103086.54615,114
65,0.002856016159058,1661103092.02617,1661103092.02331,168,1661103092.02376,168,1661103092.02393,90,1661103092.02617,114
66,0.009997129440308,1661103097.58438,1661103097.57438,168,1661103097.57484,168,1661103097.57506,90,1661103097.58438,114
67,0.0642249584198,1661103103.18322,1661103103.119,168,1661103103.11946,168,1661103103.11977,90,1661103103.18322,90
68,0.024405956268311,1661103108.7029,1661103108.67849,168,1661103108.67883,168,1661103108.67929,90,1661103108.7029,114
69,0.028962135314942,1661103114.23418,1661103114.20522,168,1661103114.20557,168,1661103114.20606,90,1661103114.23418,90
70,0.044331073760986,1661103119.79736,1661103119.75303,168,1661103119.7534,168,1661103119.75378,90,1661103119.79736,114
71,0.05017900466919,1661103125.35482,1661103125.30464,168,1661103125.30508,168,1661103125.30544,90,1661103125.35482,90
72,0.008527040481567,1661103130.84441,1661103130.83589,168,1661103130.83625,168,1661103130.83662,90,1661103130.84441,114
73,0.011562824249268,1661103136.36158,1661103136.35002,168,1661103136.35048,168,1661103136.35067,90,1661103136.36158,90
74,0.001143217086792,1661103141.88656,1661103141.88542,168,1661103141.88584,168,1661103141.88629,90,1661103141.88656,90
75,0.01614785194397,1661103147.44101,1661103147.42486,168,1661103147.42524,168,1661103147.42537,90,1661103147.44101,90
76,0.058168888092041,1661103153.03133,1661103152.97317,168,1661103152.97378,168,1661103152.97393,114,1661103153.03133,114
77,0.028713941574097,1661103158.54823,1661103158.51952,168,1661103158.51987,168,1661103158.52002,90,1661103158.54823,114
78,0.003041982650757,1661103164.05994,1661103164.05689,168,1661103164.05725,168,1661103164.05749,90,1661103164.05994,90
79,0.029605150222778,1661103169.64203,1661103169.61242,168,1661103169.6128,168,1661103169.61306,90,1661103169.64203,114
80,0.041644096374512,1661103175.16832,1661103175.12668,168,1661103175.12746,168,1661103175.12764,90,1661103175.16832,114
81,0.051957130432129,1661103180.71662,1661103180.66466,168,1661103180.6655,168,1661103180.66574,90,1661103180.71662,114
82,0.02035403251648,1661103186.19999,1661103186.17963,168,1661103186.18019,168,1661103186.18035,90,1661103186.19999,90
83,0.035328149795532,1661103191.73097,1661103191.69564,168,1661103191.69618,168,1661103191.69633,90,1661103191.73097,114
84,0.069147109985352,1661103197.30422,1661103197.23507,168,1661103197.2355,168,1661103197.23562,114,1661103197.30422,90
85,0.045909881591797,1661103202.782,1661103202.73609,168,1661103202.73648,168,1661103202.73663,90,1661103202.782,114
86,0.038311004638672,1661103208.31671,1661103208.2784,168,1661103208.27877,168,1661103208.27893,90,1661103208.31671,90
